Course	Room	Teacher	Time	Students
3	CHS104	99	2	407 78 416 385
81	STO102	174	22	557 926 1177 874
84	STO102	143	40	1062 100 119 560
116	STO18	52	22	1144 757 567 477
132	WDS	320	22	197 1147 465 755
133	HLL107	27	2	347 1063 142 218
277	SHA217	272	2	1051 1071 426 303
294	STO102	-4	2	164
338	HLL107	199	3	1005 1176 779 1016
351	HLL6	325	14	406 518 1045 934
408	STO18	21	40	74 79 163 150
432	SHA217	54	3	619 946 160 962
467	STO102	97	27	133 650 1105 530
483	HLS11	218	22	854 2 695 956
492	STO18	101	27	275 641 788 967
502	STO18	259	2	1040 419 803 425
528	WDS	282	40	271 803 151 42
535	STO102	174	7	1065 684 81 350
610	HLL6	179	22	620 77 533 983
613	HLL112	202	22	643 943 402 792
655	STO18	50	43	1144 913 1140 567
686	WDS	77	43	16 659 1146 1078
707	HLS11	196	43	943 925 118 739
717	WDS	182	27	511 76 263 262
718	HLL6	202	43	204 889 75 544
12	HLL112	68	43	681 732 1180
27	OBS	151	43	201 677 1029
59	HLL112	196	10	75 780 802
63	OBS	31	10	519 1043 1143
86	STO119	225	10	245 543 539
89	STO207	159	10	645 741 183
90	STO301	230	10	396 1133 560
100	STO18	137	7	491 671 305
124	WDS	297	7	13 579 737
136	HLS11	132	40	790 167 984
158	STO102	71	39	570 265 843
175	WDS	166	2	682 315 1169
177	STO18	17	39	743 793 217
180	WDS	48	39	592 704 17
199	STO102	239	16	745 122 479
214	HLL6	241	40	711 1169 982
223	HLL112	170	40	141 1071 222
256	HLS11	266	27	614 950 726
292	HLL6	316	27	242 603 720
324	HLS11	189	7	135 976 221
383	STO18	255	16	664 697 1160
401	WDS	14	16	1122 326 415
406	HLL6	317	7	346 94 785
409	HLL112	56	7	231 87 307
422	HLL201	226	10	816 431 798
438	STO14	323	10	101 95 1050
443	ARTS8A	90	10	298 680 896
474	OBS	189	40	705 545 1078
477	HLL112	233	14	624 289 421
519	STO119	141	40	1054 463 988
554	HLS11	19	16	616 384 1172
627	HLL6	112	16	438 223 220
630	HLL112	69	16	645 71 506
662	OBS	248	16	102 556 548
664	STO119	196	16	1002 828 739
732	STO207	68	16	97 171 1179
4	STO301	151	16	704 658
47	HLL201	107	16	125 837
74	STO14	159	16	1083 46
99	STO207	57	40	1005 1091
102	STO301	90	40	794 568
140	HLL201	311	40	751 563
169	HLS11	160	2	598 600
197	STO14	11	40	1019 289
205	ART15	199	10	1005 1016
237	HLS204	57	10	410 1117
240	HLL6	329	2	446 790
244	HLL112	320	2	715 643
260	HLS11	153	39	665 352
269	OBS	255	2	949 159
275	STO119	133	2	295 1139
283	STO207	71	2	242 835
335	STO301	281	2	1019 161
396	HLL201	330	2	15 896
419	STO14	53	2	292 319
423	ARTS8A	225	2	245 918
452	OBS	330	7	642 186
463	STO119	188	7	919 726
522	OBS	199	22	949 893
533	ARTS8A	320	16	1130 244
555	STO119	215	22	655 727
558	STO207	106	22	1085 995
579	ARTS8A	284	40	709 672
629	ART15	104	40	334 822
689	HLS204	36	40	15 572
734	ROB7	112	40	172 329
1	STO207	239	7	63
5	ART15	251	16	61
20	HLS204	272	16	1078
36	ROB7	17	16	890
42	HLL106	185	16	124
51	ROB7	52	10	1144
53	HLL106	36	10	154
68	LOCK105	180	10	607
77	GST102	69	10	821
80	GST103	292	10	426
92	HLL106	-1	40	166
103	LOCK105	126	40	913
110	GST102	62	40	64
142	OBS	141	14	949
145	GST103	233	40	90
161	STO119	226	14	798
165	STO207	105	14	135
216	STO102	159	3	1000
222	STO18	195	3	29
249	WDS	133	3	855
253	HLS11	146	3	1151
259	HLL6	111	3	522
263	HLL112	20	3	159
276	OBS	186	3	947
281	STO119	110	3	1162
286	STO301	56	14	847
310	STO301	199	7	159
342	HLL201	-7	14	1112
358	STO14	268	14	839
394	ARTS8A	77	14	711
410	STO301	21	22	150
414	HLL201	141	22	1110
435	STO14	228	22	568
482	ARTS8A	294	22	186
494	ART15	139	22	373
496	HLS204	122	22	1038
498	ROB7	68	22	415
501	HLL106	137	22	355
503	LOCK105	273	22	809
566	GST102	226	22	208
605	STO207	196	3	984
620	GST103	71	22	74
624	LOCK105	284	16	637
641	HLL6	196	39	118
666	HLL112	57	39	1117
673	OBS	108	39	407
679	STO119	282	39	237
713	STO207	56	39	82
724	STO301	318	39	294
733	LNKL205	106	40	474
736	ART15	311	14	583
17	LNKL309	108	40	
31	UN111	151	40	
109	HLS204	104	14	
125	UN114	-2	40	
131	ESTW115	329	40	
138	GIACSWAN	20	40	
170	MAGILLMR	-3	40	
194	IRADEAREID	292	40	
241	MAGILLHVID	255	40	
302	MARSHAUD	192	40	
345	TAYD	171	40	
362	SHA213	122	40	
543	ROB7	239	14	
580	HLL106	1	14	
587	LOCK105	304	14	
593	GST102	20	14	
596	GST103	30	14	
616	STO119	226	43	
621	LNKL205	257	14	
656	LNKL309	-8	14	
